method,seed,num_circles,budget,length,risk,elapsed,ts
visibility,24,6,700,900.1399348802936,57.77939424803203,13.370755195617676,1701893881.019849
partition_optimal,24,6,700,901.0656913275241,57.75969514766402,0.8816361427307129,1701893881.901937
partition_radius,24,6,700,900.0807412804145,82.25184103011881,0.26267004013061523,1701893882.164613
partition_st,24,6,700,900.0807412804145,82.25184103011881,1.5644969940185547,1701893883.729114
visibility,24,6,800,900.1399348802936,57.77939424803203,13.619423866271973,1701893897.3485491
partition_optimal,24,6,800,901.0656913275241,57.75969514766402,0.877180814743042,1701893898.2261481
partition_radius,24,6,800,900.0807412804145,82.25184103011881,0.26125597953796387,1701893898.4874082
partition_st,24,6,800,900.0807412804145,82.25184103011881,0.48741817474365234,1701893898.974834
visibility,24,6,900,900.1399348802936,57.77939424803203,13.940100193023682,1701893912.914946
partition_optimal,24,6,900,901.0656913275241,57.75969514766402,0.8762338161468506,1701893913.791599
partition_radius,24,6,900,900.0807412804145,82.25184103011881,0.26204681396484375,1701893914.0536509
partition_st,24,6,900,900.0807412804145,82.25184103011881,0.2615079879760742,1701893914.3151639
visibility,24,6,1000,900.1399348802936,57.77939424803203,14.479046106338501,1701893928.794223
partition_optimal,24,6,1000,901.0656913275241,57.75969514766402,0.8833348751068115,1701893929.677988
partition_radius,24,6,1000,900.0807412804145,82.25184103011881,0.2619960308074951,1701893929.939989
partition_st,24,6,1000,900.0807412804145,82.25184103011881,0.2621481418609619,1701893930.2021399
visibility,25,6,0,962.5576264521817,177.55114258663443,9.762619972229004,1701893939.9652858
partition_optimal,25,6,0,935.22637325984,0.0,0.6524131298065186,1701893940.6184618
partition_radius,25,6,0,935.22637325984,0.0,0.6526548862457275,1701893941.271127
partition_st,25,6,0,935.22637325984,0.0,0.6762359142303467,1701893941.94737
visibility,20,6,0,953.0326990042876,183.97658320360117,10.184247970581055,1701893963.8615491
partition_optimal,20,6,0,919.4292367136143,0.0,0.5380699634552002,1701893964.4003682
partition_radius,20,6,0,919.4292367136143,0.0,0.5369362831115723,1701893964.93731
partition_st,20,6,0,919.4292367136143,0.0,0.6337110996246338,1701893965.571027
visibility,20,6,100,917.1348031560368,70.59712104308628,10.28739619255066,1701893975.858432
partition_optimal,20,6,100,914.8019792826159,59.326420813849246,0.5484058856964111,1701893976.4075258
partition_radius,20,6,100,915.9380271143024,29.432708172444798,0.5476269721984863,1701893976.955158
partition_st,20,6,100,916.315212702641,9.367326115897809,0.575145959854126,1701893977.5303092
visibility,20,6,200,903.0971769010758,179.52126760389257,10.811280250549316,1701893988.3416011
partition_optimal,20,6,200,903.1800799707261,179.34716729457364,0.6454992294311523,1701893988.9877172
partition_radius,20,6,200,914.2189563944886,98.48014343006494,0.6851022243499756,1701893989.672825
partition_st,20,6,200,915.4823654996428,45.414591478781624,0.7622110843658447,1701893990.435041
visibility,20,6,300,900.3050684707813,215.50910659439342,11.330010890960693,1701894001.7650628
partition_optimal,20,6,300,900.2480063794127,213.3893443643966,0.8523671627044678,1701894002.617918
partition_radius,20,6,300,911.4197241857855,152.81254571579888,0.9231512546539307,1701894003.541074
partition_st,20,6,300,914.3578133234766,82.91510865566376,1.036175012588501,1701894004.5772538
visibility,20,6,400,900.3050684707813,215.50910659439342,11.756690263748169,1701894016.3339572
partition_optimal,20,6,400,900.2480063794127,213.3893443643966,0.8440351486206055,1701894017.1784708
partition_radius,20,6,400,907.809704764763,203.84343195294565,1.2667958736419678,1701894018.445272
partition_st,20,6,400,913.215199098011,115.9777405898529,0.8523719310760498,1701894019.297652
visibility,20,6,500,900.3050684707813,215.50910659439342,12.27027678489685,1701894031.5679412
partition_optimal,20,6,500,900.2480063794127,213.3893443643966,0.8461120128631592,1701894032.4145331
partition_radius,20,6,500,904.5631964364641,248.140310999414,1.5950829982757568,1701894034.009622
partition_st,20,6,500,911.2587172913649,146.59715088359744,1.0183990001678467,1701894035.028026
visibility,20,6,600,900.3050684707813,215.50910659439342,13.217326879501343,1701894048.2453701
partition_optimal,20,6,600,900.2480063794127,213.3893443643966,0.8563528060913086,1701894049.102239
partition_radius,20,6,600,901.6515072327419,262.8839697030295,1.6931469440460205,1701894050.795392
partition_st,20,6,600,909.2342433686442,183.65193278262936,1.022648811340332,1701894051.818048
visibility,20,6,700,900.3050684707813,215.50910659439342,13.265480756759644,1701894065.083541
partition_optimal,20,6,700,900.2480063794127,213.3893443643966,0.8639228343963623,1701894065.947961
partition_radius,20,6,700,900.2094064314185,218.84569366509325,1.0224170684814453,1701894066.970384
partition_st,20,6,700,908.8651209580274,197.3715310414836,0.8112380504608154,1701894067.781631
visibility,20,6,800,900.3050684707813,215.50910659439342,13.891887903213501,1701894081.6735349
partition_optimal,20,6,800,900.2480063794127,213.3893443643966,0.853956937789917,1701894082.5280519
partition_radius,20,6,800,900.2094064314185,218.84569366509325,0.2686011791229248,1701894082.796659
partition_st,20,6,800,908.6642243501345,201.97768350825382,0.5853068828582764,1701894083.381971
visibility,20,6,900,900.3050684707813,215.50910659439342,14.23477816581726,1701894097.6167622
partition_optimal,20,6,900,900.2480063794127,213.3893443643966,0.8527429103851318,1701894098.470036
partition_radius,20,6,900,900.2094064314185,218.84569366509325,0.2653796672821045,1701894098.735422
partition_st,20,6,900,908.4162626987091,206.57880381785242,0.6323509216308594,1701894099.3677812
visibility,20,6,1000,900.3050684707813,215.50910659439342,14.6148841381073,1701894113.982678
partition_optimal,20,6,1000,900.2480063794127,213.3893443643966,0.8543496131896973,1701894114.837536
partition_radius,20,6,1000,900.2094064314185,218.84569366509325,0.2658121585845947,1701894115.103355
partition_st,20,6,1000,908.1209534241247,211.17572394107606,0.6553671360015869,1701894115.7587268
visibility,21,6,0,935.7977540960982,95.85338979675481,9.62435007095337,1701894125.383662
partition_optimal,21,6,0,934.8885519346634,0.0,0.6619179248809814,1701894126.0462651
partition_radius,21,6,0,934.8885519346634,0.0,0.655297040939331,1701894126.701568
partition_st,21,6,0,934.8885519346634,0.0,0.6447372436523438,1701894127.346317
visibility,21,6,100,928.4966525310748,79.8687214610067,10.166240930557251,1701894137.512568
partition_optimal,21,6,100,928.5758974916548,79.62982433797683,0.8046040534973145,1701894138.317739
