method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,5,4,500,903.4125801040484,500,0.21731281280517578,1699772822.809612
partition_st,5,4,500,932.1546387122354,500,0.9582629203796387,1699772823.767883
visibility,5,4,500,905.0975315552104,314.7040419533793,2.8778889179229736,1699772826.6457841
layers_solver,5,4,500,901.5177822571582,431.19815212990557,57.03551197052002,1699772883.681309
partition_radius,5,4,200,904.2502892760396,200,0.35722994804382324,1699772884.039254
partition_st,5,4,200,904.2502892760396,200,0.36280393600463867,1699772884.402067
visibility,5,4,200,925.4860704110015,109.01787738493883,2.434870958328247,1699772886.836947
layers_solver,5,4,200,901.5177822571582,113.73677370199151,34.188026905059814,1699772921.024988
partition_radius,5,4,300,904.2502892760396,300,0.38952207565307617,1699772921.414523
partition_st,5,4,300,904.2502892760396,300,0.24291610717773438,1699772921.657448
visibility,5,4,300,925.4860704110015,109.01787738493883,2.659369945526123,1699772924.31683
layers_solver,5,4,300,901.5177822571582,113.73677370199151,42.824793100357056,1699772967.1416352
partition_radius,5,4,400,904.2502892760396,400,0.32926106452941895,1699772967.470906
partition_st,5,4,400,904.2502892760396,400,0.23155617713928223,1699772967.702471
visibility,5,4,400,925.4860704110015,109.01787738493883,2.8676960468292236,1699772970.570178
layers_solver,5,4,400,901.5177822571582,113.73677370199151,49.64782500267029,1699773020.218015
partition_radius,5,4,500,904.2502892760396,500,0.21529889106750488,1699773020.433323
partition_st,5,4,500,904.2502892760396,500,0.2355189323425293,1699773020.6688461
visibility,5,4,500,925.4860704110015,109.01787738493883,3.0201199054718018,1699773023.688977
layers_solver,5,4,500,901.5177822571582,113.73677370199151,55.265652894973755,1699773078.954644
partition_radius,5,4,200,900.0415785572918,200,0.4807920455932617,1699773079.4362729
partition_st,5,4,200,900.0415785572918,200,0.5353829860687256,1699773079.971664
visibility,5,4,200,900.0200870350573,9.000200870350573e-05,2.4482359886169434,1699773082.419914
layers_solver,5,4,200,901.5177822571582,9.015177822571581e-05,35.30201196670532,1699773117.721941
partition_radius,5,4,300,900.0415785572918,300,0.7406198978424072,1699773118.46257
partition_st,5,4,300,900.0415785572918,300,0.7895958423614502,1699773119.2521741
visibility,5,4,300,900.0200870350573,9.000200870350573e-05,2.648115873336792,1699773121.900314
layers_solver,5,4,300,901.5177822571582,9.015177822571581e-05,42.64297795295715,1699773164.543307
partition_radius,5,4,400,900.0415785572918,400,0.7373666763305664,1699773165.280685
partition_st,5,4,400,900.0415785572918,400,0.4638369083404541,1699773165.74453
visibility,5,4,400,900.0200870350573,9.000200870350573e-05,2.8206562995910645,1699773168.565204
layers_solver,5,4,400,901.5177822571582,9.015177822571581e-05,49.496253967285156,1699773218.0614772
partition_radius,5,4,500,900.0415785572918,500,0.18118596076965332,1699773218.242671
partition_st,5,4,500,900.0415785572918,500,0.1839611530303955,1699773218.426643
visibility,5,4,500,900.0200870350573,9.000200870350573e-05,3.0038440227508545,1699773221.4305012
layers_solver,5,4,500,901.5177822571582,9.015177822571581e-05,55.22602081298828,1699773276.656543
partition_radius,5,4,0,939.1188604414092,0,0.4400980472564697,1699824468.1095018
partition_st,5,4,0,939.1188604414092,0,0.4554712772369385,1699824468.564987
visibility,5,4,0,972.791751736235,228.56115931057474,2.061527967453003,1699824470.626525
layers_solver,5,4,0,952.1233508767341,428.2998349983297,22.74704599380493,1699824493.37358
partition_radius,5,4,100,936.3877518529347,100,0.4328179359436035,1699824493.8064058
partition_st,5,4,100,936.622239810743,100,0.428516149520874,1699824494.234931
visibility,5,4,100,1332.9937938950848,80.69362537564174,2.215334892272949,1699824496.450277
layers_solver,5,4,100,938.861657066478,85.1424689690383,29.50674819946289,1699824525.9570382
partition_radius,5,4,200,933.5180003680318,200,0.6439249515533447,1699824526.600975
partition_st,5,4,200,936.1382189426773,200,0.5141820907592773,1699824527.115167
visibility,5,4,200,927.6651037427023,182.34186050157155,2.360825777053833,1699824529.4760032
layers_solver,5,4,200,922.4426320294457,156.8232416172228,35.99235200881958,1699824565.4683678
partition_radius,5,4,300,928.1095119692656,300,1.0643830299377441,1699824566.5327601
partition_st,5,4,300,932.278288362789,300,0.559577226638794,1699824567.0923462
visibility,5,4,300,908.7177414922396,275.6713402156356,2.6235110759735107,1699824569.715868
layers_solver,5,4,300,907.3509116154662,253.56753825899983,41.92234706878662,1699824611.638228
partition_radius,5,4,400,913.8954096057757,400,1.2351739406585693,1699824612.87341
partition_st,5,4,400,932.2203862979003,400,0.7344977855682373,1699824613.607915
visibility,5,4,400,905.0975315552104,314.7040419533793,2.8371541500091553,1699824616.445081
layers_solver,5,4,400,904.291434969694,364.6560652036064,49.08453917503357,1699824665.529641
partition_radius,5,4,500,903.4125801040484,500,0.2171330451965332,1699824665.746782
partition_st,5,4,500,932.1546387122354,500,0.9581060409545898,1699824666.704894
visibility,5,4,500,905.0975315552104,314.7040419533793,2.862452983856201,1699824669.567362
layers_solver,5,4,500,901.5177822571582,431.19815212990557,54.91398501396179,1699824724.481361
partition_radius,5,4,600,903.4125801040484,600,0.21700406074523926,1699824724.698373
