method,seed,num_circles,budget,length,risk,elapsed,ts
visibility,3,6,0,957.1375007464169,0,6.964036226272583,1695851324.097331
partition_radius,3,6,100,919.9191139413066,100,0.8875951766967773,1695851324.984936
partition_st,3,6,100,920.2224032100045,100,0.8998551368713379,1695851325.8848
visibility,3,6,100,925.4492102312624,79.41032868002807,7.167150974273682,1695851333.05196
partition_radius,3,6,200,918.1192147306318,200,0.9972772598266602,1695851334.0492458
partition_st,3,6,200,919.0520116369534,200,1.0912690162658691,1695851335.1405241
visibility,3,6,200,907.2204692491102,178.92520744646293,7.557886123657227,1695851342.6984231
partition_radius,3,6,300,915.6196457892752,300,1.3281278610229492,1695851344.026562
partition_st,3,6,300,917.3987430281733,300,1.5185208320617676,1695851345.545096
visibility,3,6,300,903.8581221136835,264.70111719114374,7.996834993362427,1695851353.541944
partition_radius,3,6,400,911.6661522733207,400,1.9016273021697998,1695851355.443582
partition_st,3,6,400,914.4721669429146,400,1.8531689643859863,1695851357.2967591
visibility,3,6,400,901.3650310921191,366.7781252555272,8.396917819976807,1695851365.69369
partition_radius,3,6,500,906.5902027150929,500,2.6895270347595215,1695851368.3832278
partition_st,3,6,500,911.1875539516051,500,1.0652921199798584,1695851369.448533
visibility,3,6,500,901.3495335190942,386.67733809962243,9.003643035888672,1695851378.452189
partition_radius,3,6,600,902.649272716946,600,2.9843227863311768,1695851381.436525
partition_st,3,6,600,900.8993991379058,600,0.7283205986022949,1695851382.164855
visibility,3,6,600,901.3495335190942,386.67733809962243,9.254971981048584,1695851391.41984
partition_radius,3,6,700,900.0549653479388,700,0.29087376594543457,1695851391.710725
partition_st,3,6,700,909.8641638191766,700,0.7824220657348633,1695851392.4931562
visibility,3,6,700,901.3495335190942,386.67733809962243,9.948240280151367,1695851402.441409
partition_radius,4,6,0,924.6177907908979,0,0.746196985244751,1695851403.188065
partition_st,4,6,0,924.6177907908979,0,0.7466979026794434,1695851403.934846
visibility,4,6,0,929.49054800405,0,6.885530948638916,1695851410.82039
partition_radius,4,6,100,921.1558106746355,100,0.7373173236846924,1695851411.557716
partition_st,4,6,100,927.720843324405,100,0.8256289958953857,1695851412.383361
visibility,4,6,100,925.3344612665036,65.91682337027548,7.06526780128479,1695851419.4486442
